"","a.wet","a.dry","b","c.wet","c.dry","a.intraS","a.interS","c.intraS","c.interS","sigma"
"Alstonia angustifolia",-2.65930552541892,-2.68006469523964,-0.547682408132846,-3.69569576647145,-3.49825066575504,0.0726591986316402,0.0875899220466636,0.0261556037693126,0.00389416589485551,0.303665517644537
"Artocarpus elasticus",-2.58279307629372,-2.54254435978758,-0.526189174641746,-3.7292581126175,-3.64832576653878,0.0685112655581425,0.0987667322092766,0.0253083618293475,0.00801900896437415,0.303665517644537
"Baccaurea bracteata",-2.59345781969521,-2.72198928557712,-0.528168860522044,-3.65507479222062,-3.6549631844476,0.086157413184525,0.0599409632332709,0.0115778374072314,0.00117319806685632,0.303665517644537
"Bhesa paniculata",-2.4223046222466,-2.35887927721174,-0.499072828969362,-4.08342834260251,-3.6966453097537,0.0586029565302388,0.123621064511204,-0.0229093186333298,0.0474346992030148,0.303665517644537
"Calophyllum pulcherrimum",-2.37385281922906,-2.43909317211233,-0.509197823805031,-3.21754005964131,-3.62835125796924,0.0739004136948855,0.0912849262783157,0.0200958602068966,0.0220720277278854,0.303665517644537
"Calophyllum tetrapterum var. tetrapterum",-2.27375936606003,-2.29493113131039,-0.48599115405723,-3.49287422635039,-3.72604800595382,0.087695482604264,0.0599990312812071,0.0927961493118292,0.00467138542621017,0.303665517644537
"Campnosperma squamatum",-2.01724290262438,-2.12567172064241,-0.461827167936848,-3.64492815387122,-3.66435660028915,0.0716943505130039,0.0894931220052269,-0.0742975965635056,-0.00916761075248881,0.303665517644537
"Canarium littorale",-2.24653223500846,-2.31111752823197,-0.475761520528825,-3.82111849896316,-3.82111849896316,0.0819027021001648,0.0500196777158834,0.0255216887156521,0.0064290244857839,0.303665517644537
"Carallia brachiata",-2.32545081173888,-2.25350851528898,-0.464535429825084,-3.37898097597721,-3.84315416500879,0.0634039910682758,0.0521711194568369,-0.00192613453084269,-0.0131693660522581,0.303665517644537
"Elaeocarpus mastersii",-2.65139395974037,-2.55438523810291,-0.536022830736964,-3.89483194297029,-3.62278051697911,0.0678928029885576,0.14269933143454,-0.0371328622118181,0.0204874382678913,0.303665517644537
"Gironniera nervosa",-2.4063887470228,-2.18446665448626,-0.456125291443141,-4.46192369058569,-3.9145075599257,0.0906747099737378,0.121988197541375,0.0599592207293455,0.00918279705730808,0.303665517644537
"Gluta wallichii",-2.15581670622017,-2.2469541115775,-0.472660485428209,-3.62019720184305,-3.62036592812076,0.0605394982916077,0.0917001712896198,0.0169816159829364,0.00824895523912527,0.303665517644537
"Gymnacranthera farquhariana",-2.43942476802275,-2.49736546609079,-0.511834994225848,-3.60609402696516,-3.59862659909257,0.0789808137556505,0.0954586699920191,0.0431636331915749,0.00263134722333763,0.303665517644537
"Horsfieldia crassifolia",-2.48419165929807,-2.56213027407684,-0.521645616660016,-3.63028455074497,-3.63028455074497,0.0566402192322796,0.0807897811004873,-0.0058630348661482,-0.00440612259746495,0.303665517644537
"Horsfieldia polyspherula",-2.28067751834816,-2.32687663745619,-0.48882829613997,-3.66520390601687,-3.6733287697662,0.0822529433845837,0.121610055818513,0.0851873954863041,0.0599592806706481,0.303665517644537
"Lithocarpus ewyckii",-2.1931936589835,-2.10717616112684,-0.452939368053753,-3.72438102751711,-3.73791417872208,0.0672018829927482,0.127853008017285,0.0218338663224855,0.0273315913332785,0.303665517644537
"Lophopetalum multinervium",-2.40186717926139,-2.47544885519045,-0.503232300583959,-3.72034966932452,-3.71975818115377,0.0740478037937301,0.104140163694435,-0.0424360694026455,0.00486106583705298,0.303665517644537
