"","Intercept","h","CAE","HAE","HM","hxCAE","hxHAE","hxHM","sigma"
"Alstonia angustifolia",0.463213951400385,0.909303634975702,-0.10170452733401,-0.160362704050034,0.0933968870601997,0.0275555589879507,0.035516180061771,0.0114433876659722,0.19310799101115
"Aporosa frutescens",0.483600704765899,0.91249852141694,-0.107906853354327,-0.126880441819474,-0.0656664855772711,0.0248724959817137,0.0324937564956357,-0.0200653279749183,0.19310799101115
"Aporosa lucida",0.462868657716242,0.908593010826858,-0.0740772623498595,-0.130052618486002,0.162322602841414,0.0292049221239544,0.0401682840699805,0.0106291302663892,0.19310799101115
"Archidendron clypearia",0.456032969971651,0.908863511803657,-0.116634226463552,-0.157818752922061,0.0553077434826269,0.0279686391732892,0.0380152874831211,0.00290037620176355,0.19310799101115
"Baccaurea bracteata",0.450253225125523,0.90841147526214,-0.0987244014918143,-0.174651863706013,0.00371169632276893,0.0291190878253154,0.0418178242093,-0.00568094914295511,0.19310799101115
"Bhesa paniculata",0.458509388972854,0.908328264390023,-0.0785795501885295,-0.144391032366544,0.09486184862039,0.0274486987567623,0.0396086462356895,0.00249793725856733,0.19310799101115
"Calophyllum pulcherrimum",0.439260129351142,0.907106659881703,-0.0759837497104219,-0.139405921632119,0.0900879787624564,0.0290194372017574,0.0346553832825407,0.00885242081673591,0.19310799101115
"Calophyllum rufigemmatum",0.450284909016039,0.908906910957309,-0.0983578702907643,-0.15388951068129,0.032485855510904,0.0269507692466798,0.0329905541047103,0.00667399392631446,0.19310799101115
"Calophyllum teysmannii",0.456137790019564,0.909554859283355,-0.101049635458659,-0.156914456923525,0.0121590735452883,0.0271738220505998,0.0346833046632824,-0.000699983418553215,0.19310799101115
"Campnosperma squamatum",0.425150248779706,0.907018183603791,-0.248475803239548,-0.593078417977982,0.0981333093536021,0.0301565896272177,0.0759127326057562,0.0150376906335982,0.19310799101115
"Canarium littorale",0.457547287054131,0.908614999180691,-0.0512935992402474,-0.0323668510837866,-0.0534800524726535,0.0303847670017747,0.0383134227716704,-0.0145661824044488,0.19310799101115
