,dbh,species,cat
1,1.087365547,PPI,seedling
2,0.472912275,PPI,seedling
3,0.625704558,PPI,seedling
4,0.401405869,PPI,seedling
5,0.246174305,PPI,seedling
6,0.160556497,PPI,seedling
7,0.527974461,PPI,seedling
8,0.377532818,PPI,seedling
9,0.198759912,PPO,seedling
10,0.18475868,PPO,seedling
11,0.245513125,PPO,seedling
12,0.183343786,PPO,seedling
13,0.22110401,PPO,seedling
14,0.425797354,PPO,seedling
15,0.206581733,PPO,seedling
16,0.785619044,PPO,seedling
17,0.282067614,PPO,seedling
18,0.208867737,PPO,seedling
19,0.84036798,PPO,seedling
20,0.224247796,PPO,seedling
21,0.201529433,PPO,seedling
22,0.209324165,PPO,seedling
23,0.251625565,PPO,seedling
24,0.20520701,PPO,seedling
25,0.212512058,PPO,seedling
26,0.237154456,PPO,seedling
27,0.207039451,PPO,seedling
28,0.20520701,PPO,seedling
29,0.173358934,PPO,seedling
30,0.1903908,PPO,seedling
31,0.16468159,PPO,seedling
32,0.352225203,PPO,seedling
33,0.2120574,PPO,seedling
34,0.722245924,PPO,seedling
35,0.223799379,PPO,seedling
36,0.222003399,PPO,seedling
37,0.204289214,PPO,seedling
38,0.206123754,PPO,seedling
39,0.177179674,PPO,seedling
40,0.787567742,PPO,seedling
41,0.853433847,PPO,seedling
42,0.487428912,PPO,seedling
43,0.201068528,PPO,seedling
44,0.825967046,PPO,seedling
45,0.5870347,PPO,seedling
46,0.952501593,PPO,seedling
47,0.635548579,PPO,seedling
48,0.207039451,PPO,seedling
49,0.2143282,PPO,seedling
50,0.210236256,PPO,seedling
51,0.279105042,PPO,seedling
52,0.221553822,PPO,seedling
53,0.343815733,PPO,seedling
54,0.688511169,PPO,seedling
55,0.679084185,PPO,seedling
56,0.256401537,PPO,seedling
57,0.1757494,PPO,seedling
58,0.269740758,PPO,seedling
59,0.345822737,PPO,seedling
60,0.271449494,PPO,seedling
61,0.195051707,PPO,seedling
62,0.20749691,PPO,seedling
63,0.298430863,PPO,seedling
64,0.188049355,PPO,seedling
65,0.288809479,PPO,seedling
66,0.211602492,PPO,seedling
67,0.179082109,PPO,seedling
68,0.446581431,PPO,seedling
69,0.270595472,PPO,seedling
70,0.274007433,PPO,seedling
71,0.412434928,PPO,seedling
72,0.671653641,PPO,seedling
73,0.253364954,PPO,seedling
74,0.188049355,PPO,seedling
75,0.235385142,PPO,seedling
76,0.593677591,PPO,seedling
77,0.430733056,PPO,seedling
78,0.639319419,PPO,seedling
79,0.345822737,PPO,seedling
80,0.27868116,PPO,seedling
81,0.331709473,PPO,seedling
82,0.191792119,PPO,seedling
83,0.492929839,PPO,seedling
84,0.611068744,PPO,seedling
85,0.333734969,PPO,seedling
86,0.254233498,PPO,seedling
87,0.303419102,PPO,seedling
88,0.213874536,PPO,seedling
89,0.150446508,PPO,seedling
90,0.799557538,PPO,seedling
91,0.434898097,PPO,seedling
92,0.223350733,PPO,seedling
