"","K1","K2","K","r1","r2","p1","r1.interAHM","p1.intraA","p2","p2.intraS","p2.interS"
"All other spp",0.96474364633647,0.985191579948155,0.96474364633647,3.32788564541453,-11.7930171842974,-2.391130635195,-0.744778054697962,0.469768328304554,5.50783102558179,-0.536694750489616,-0.0379638595410623
"Alstonia angustifolia",0.970510444892693,0.977378998775076,0.970510444892693,4.24946021950419,-12.2702001853478,-5.31977377904126,-0.633753853082025,0.860252503227825,3.86517461031323,-0.108875997830314,-0.632899467069407
"Aporosa falcifera",0.96997589517776,0.992375247468642,0.96997589517776,3.96096071103397,-12.7221198718886,-4.55649874721632,-0.219777570404423,1.07703857723684,3.77460307286199,-0.110706156051783,-0.0379638595410623
"Aporosa frutescens",0.972913760165175,0.998854285240594,0.972913760165175,3.65162281699844,-14.1219685466706,-2.1000612221439,-0.744778054697962,1.19663768381505,3.13371961568227,-0.350050865903774,-0.939423631425899
"Aporosa lucida",0.970714449446296,0.992825504459544,0.970714449446296,4.08228011177425,-12.6292485469091,-5.12361388382137,-0.297260257257755,1.17434980792715,3.13112685777235,-0.161920627122044,-0.105136144509679
"Aporosa symplocoides",0.969360998079874,0.995081594879877,0.969360998079874,2.75335417983026,-12.9524595737377,-3.62532609726453,-0.744778054697962,1.23864622380053,3.68106276391811,-0.0224412205454389,-0.0761067831725595
"Archidendron clypearia",0.966812017697267,0.994152544364523,0.966812017697267,4.61089340422048,-14.0169364993918,-2.78176461998683,-1.17865083594145,-0.512006576230295,2.99093176084722,-0.108875997830314,-0.0379638595410623
"Artocarpus elasticus",0.969993883905906,0.99039601724275,0.969993883905906,4.13885745460162,-13.0239779090713,-4.62119112110697,-0.513576717962006,1.00990153881114,4.06497427998382,-0.355669426034715,-0.250575442837967
"Baccaurea bracteata",0.969587682403941,0.993437986004421,0.969587682403941,4.53889779571782,-13.1074074642061,-4.95807444297042,-1.10861905670501,0.95124136921749,3.88808998683365,-0.108875997830314,-0.14260825134695
"Bhesa paniculata",0.968473971535582,0.993744543887622,0.968473971535582,4.13097738583636,-13.0559821960166,-4.68736808631481,-1.72703414249635,2.35486122064038,4.36847773275638,-0.087824946528194,-0.0984515689531991
"Calophyllum pulcherrimum",0.971457763209824,0.992975172003492,0.971457763209824,4.21031936775934,-13.0164527429658,-5.07582877516935,-0.354319972221406,1.23972925475807,3.29419558863621,-0.521949246456882,-0.0379638595410623
"Calophyllum rufigemmatum",0.969486977283563,0.992164361896629,0.969486977283563,3.80919145350947,-13.2055705856478,-5.41603876163326,-0.117032214329803,1.18321225328897,4.12989873371888,-0.179273792065227,-0.0379638595410623
"Calophyllum tetrapterum var. tetrapterum",0.970199289168522,0.988327827220444,0.970199289168522,3.98722856449775,-13.2680774128486,-4.7311645313889,-0.0992648750644556,1.15644716780381,3.59838286468379,-0.21622389025219,-0.2063034212593
"Calophyllum teysmannii",0.968372030880849,0.99215241919557,0.968372030880849,4.51990045322913,-12.7499328815261,-5.08185257034906,-1.04939248301245,1.22442906101062,4.12391865907809,-0.337837827649495,-0.529696182097062
"Campnosperma squamatum",0.970725174951764,0.993790809434264,0.970725174951764,5.36832168831367,-12.8028444045902,-5.26334880156429,-6.15238008267293,2.63801520947314,3.92559969285476,-0.0786443246320902,-0.0379638595410623
"Canarium littorale",0.97040660168943,0.984460376405322,0.97040660168943,4.53468522775142,-12.8768693940944,-4.86900869661757,-1.0929462936706,1.14197210057986,4.01983997159417,-0.194669435707049,-0.536663676226396
"Carallia brachiata",0.970076941430664,0.993358147479141,0.970076941430664,4.14903598621532,-13.1494955585856,-4.64181883039091,-0.742707119375656,1.06053080672715,4.42331594789561,-0.038608018244757,-0.0379638595410623
"Cryptocarya ferrea",0.970130226044485,0.993364290974992,0.970130226044485,4.18599772585409,-12.531792747433,-4.77330535210616,-0.72750947775354,1.15285433729742,2.79052815464776,-0.108875997830314,-0.569133097346402
