"","a","b","c","b.intraA","b.interS","c.intraA","c.interS","sigma"
"Alstonia angustifolia",0.0522501205887921,0.506669456151217,0.0560607678948517,-0.0353181394884713,-0.0728635250436085,-0.00224803006698426,-0.0032518033970777,0.124675919303418
"Artocarpus elasticus",0.0519509565757382,0.687212627071047,0.0591872635511057,-0.0547683836855184,-0.0682574179440335,-0.00533445748876722,-0.00266097031192114,0.124675919303418
"Baccaurea bracteata",0.0513856946058755,0.466730304566573,0.0131953744252256,-0.0888603161779612,-0.0327584184792451,0.00444262829860944,0.00857316775150492,0.124675919303418
"Bhesa paniculata",0.0506337039914098,0.841522345811494,0.0690250342515415,0.0774268478365465,-0.126061834730911,-0.00426741317132603,-0.00951501758300022,0.124675919303418
"Calophyllum pulcherrimum",0.0520245435482191,0.678606589581457,0.0399903432717929,-0.0608096040630482,-0.0545288262276654,-0.00300755078258804,0.000259521898721325,0.124675919303418
"Calophyllum tetrapterum var. tetrapterum",0.0539058100234716,0.728877363880984,0.0318732115561332,-0.0788267439302064,-0.0438864274718889,-0.00120736429708751,0.00464884277659885,0.124675919303418
"Campnosperma squamatum",0.0565234050265203,0.952756653838585,0.0559451840411849,-0.00332191194124008,-0.0768530038960989,-0.000251178997357062,-0.00123792129047597,0.124675919303418
"Canarium littorale",0.0535505392433318,0.783124942498288,0.0289573283703239,-0.0821438335649872,-0.0503113782989474,-0.00125210654593177,0.00338766106644551,0.124675919303418
"Carallia brachiata",0.0542538712963408,0.632170188474537,0.00020808344995607,-0.0437585115966394,-0.0519694667695031,0.0023519221311185,0.0126075096886634,0.124675919303418
"Elaeocarpus mastersii",0.0507774712454348,0.696375914338072,0.0661783721359127,0.0893203561406247,-0.140001605307023,-0.000468895314941044,-0.00706688738140887,0.124675919303418
"Gironniera nervosa",0.0512934049067572,0.915765943951816,0.0439547385125766,-0.0775910941005271,-0.0700362289703821,-0.00504458474578806,0.00226304725030617,0.124675919303418
"Gluta wallichii",0.0568520887567253,0.871725248683545,0.0581101155602917,0.0291816678373327,-0.0956189996651838,-0.00410797186065038,-0.00367893305462705,0.124675919303418
"Gymnacranthera farquhariana",0.0535997996738247,0.659833624455165,0.0582770179632522,-0.0649638922843915,-0.0585593522063504,-0.00624892829338785,-0.00262243476070351,0.124675919303418
"Horsfieldia crassifolia",0.0535682248281074,0.61569538681573,0.0380809871427002,0.00692474478113611,-0.0758811429620976,-0.000488032981804132,0.00347088705198395,0.124675919303418
"Horsfieldia polyspherula",0.0554589575303336,0.785443496423605,0.0468345087709154,-0.0325652466329923,-0.101001443029587,-0.00430442326269388,-0.00748404045873435,0.124675919303418
"Lithocarpus ewyckii",0.0543112728281268,1.04273711479121,0.0541912628177125,0.0257694964194492,-0.0754436268257098,-0.00435838546278245,0.000833625279749978,0.124675919303418
"Lophopetalum multinervium",0.0524939326602454,0.604613027744187,0.0204371641685789,-0.0602602333524842,-0.0752570196727527,0.00329314759824319,0.00605699490072857,0.124675919303418
"Macaranga gigantea",0.0518831473795974,0.936421540171863,0.041063485556185,-0.0763304997147382,-0.00756108012103868,-0.000339680273633084,0.0102023852453676,0.124675919303418
"Macaranga recurvata",0.0505140755134472,0.866552143017047,0.039450826234402,0.0119639644976447,-0.0977703910862211,-0.00155405964809258,0.00244811991660204,0.124675919303418
"Madhuca sp.",0.0528870561899899,0.516023156502747,0.0220720299440854,-0.0258334622301402,-0.0662992916607777,0.00521269718779547,0.00917188052608577,0.124675919303418
"Mussaendopsis beccariana",0.0506670731165341,0.593280943882247,0.0316547890855937,-0.0158832937513951,-0.0939268867217189,0.00252631867628224,-0.00011761732671595,0.124675919303418
"Myristica elliptica",0.0536903690761412,0.87120359764161,0.042020095661335,0.0436581372397268,-0.100520226347801,0.000785793144077251,0.00222274127456775,0.124675919303418
"Palaquium xanthochymum",0.0536272010174944,0.83656328591979,0.0388023521837454,-0.0346013748865614,-0.102610814953679,-0.00237447338593649,-0.00304075480543196,0.124675919303418
"Pellacalyx axillaris",0.052031540756312,0.612719642027767,0.0430652021443558,-0.0286989278946167,-0.0710022763122883,-0.00159444308124118,0.00215871902562388,0.124675919303418
"Pentace triptera",0.051199135767442,0.656371615139243,0.00696385404437638,-0.000316366666116633,-0.0716254325129132,0.0074335174062585,0.0110557816589379,0.124675919303418
"Pometia pinnata",0.0490879436616509,0.641492516074614,0.0168434791157436,-0.0376032234827695,-0.0636787007911877,0.000412220135086737,0.0107987995820686,0.124675919303418
