"","All other.spp","Alstonia angustifolia","Aporosa frutescens","Aporosa lucida","Archidendron clypearia","Baccaurea bracteata","Bhesa paniculata","Calophyllum pulcherrimum","Calophyllum rufigemmatum","Calophyllum teysmannii","Campnosperma squamatum","Canarium littorale","Carallia brachiata","Cryptocarya ferrea","Diospyros lanceifolia","Diospyros styraciformis","Diplospora malaccensis","Elaeocarpus mastersii","Elaeocarpus stipularis","Ficus fistulosa","Garcinia parvifolia","Gironniera nervosa","Gluta wallichii","Gynotroches axillaris","Horsfieldia polyspherula","Koilodepas longifolium","Lithocarpus ewyckii","Litsea firma","Macaranga bancana","Osmelia philippina","Pentace triptera","Pometia pinnata","Prunus polystachya","Rhodamnia cinerea","Santiria apiculata var. apiculata","Sterculia macrophylla","Strombosia ceylanica","Syzygium borneense","Syzygium claviflorum","Syzygium lineatum","Syzygium pachyphyllum","Timonius wallichianus","Xanthophyllum flavescens","Xylopia malayana"
"grow.S.int",0.320246469631017,0.614984144957765,0.550249778038015,0.864525153438354,0.530908326228355,0.491230310974198,0.804990210242607,0.219487903095371,0.342458963987341,0.429040479795896,-0.0284434021462677,0.525859563874346,0.470060236098601,0.549963746217259,0.571546563263433,0.520352725812565,0.598891012673918,0.55296090270199,0.329357118067295,0.475088876266592,0.435594488384737,0.703400290200078,0.636680000216377,0.498638909980809,0.70755690532865,0.496918188936189,0.542009934214314,0.558629524315444,0.906133200464145,0.470919629102715,0.929677233024487,0.796978878372452,0.607881336119753,0.506381906025952,0.583234693410129,0.978288675851878,0.577971171245375,0.578879026556447,0.615254433263468,0.457461114732531,0.528691459473719,0.708040126382238,0.472885227522948,0.556488649880349
"grow.S.CAE",-0.155538443506798,-0.155538443506798,-0.155538443506798,-0.155538443506798,-0.155538443506798,-0.155538443506798,-0.155538443506798,-0.155538443506798,-0.155538443506798,-0.155538443506798,-0.155538443506798,-0.155538443506798,-0.155538443506798,-0.155538443506798,-0.155538443506798,-0.155538443506798,-0.155538443506798,-0.155538443506798,-0.155538443506798,-0.155538443506798,-0.155538443506798,-0.155538443506798,-0.155538443506798,-0.155538443506798,-0.155538443506798,-0.155538443506798,-0.155538443506798,-0.155538443506798,-0.155538443506798,-0.155538443506798,-0.155538443506798,-0.155538443506798,-0.155538443506798,-0.155538443506798,-0.155538443506798,-0.155538443506798,-0.155538443506798,-0.155538443506798,-0.155538443506798,-0.155538443506798,-0.155538443506798,-0.155538443506798,-0.155538443506798,-0.155538443506798
"grow.S.HAE",-0.136881435441888,-0.136881435441888,-0.136881435441888,-0.136881435441888,-0.136881435441888,-0.136881435441888,-0.136881435441888,-0.136881435441888,-0.136881435441888,-0.136881435441888,-0.136881435441888,-0.136881435441888,-0.136881435441888,-0.136881435441888,-0.136881435441888,-0.136881435441888,-0.136881435441888,-0.136881435441888,-0.136881435441888,-0.136881435441888,-0.136881435441888,-0.136881435441888,-0.136881435441888,-0.136881435441888,-0.136881435441888,-0.136881435441888,-0.136881435441888,-0.136881435441888,-0.136881435441888,-0.136881435441888,-0.136881435441888,-0.136881435441888,-0.136881435441888,-0.136881435441888,-0.136881435441888,-0.136881435441888,-0.136881435441888,-0.136881435441888,-0.136881435441888,-0.136881435441888,-0.136881435441888,-0.136881435441888,-0.136881435441888,-0.136881435441888
"grow.S.h",0.93910838594756,0.875493112644339,0.889465179293591,0.821632948899562,0.893639778762724,0.90220375953554,0.83448278792435,0.960855805040487,0.934314109485763,0.915626621416712,1.01436853538921,0.894729488100484,0.906773043382838,0.889526915522021,0.884868546674117,0.895918067090084,0.878966604818039,0.88888001848486,0.937141971611147,0.905687677155817,0.914212024361386,0.856409643801167,0.87081034597634,0.900604710312949,0.855512492776524,0.900976105450712,0.891243641840802,0.887656520631073,0.812652396005451,0.906587554640107,0.807570724433177,0.836211929154353,0.877026161057474,0.898933485862082,0.882345816613016,0.797078580129942,0.88348187904778,0.883285930349774,0.875434774447776,0.909492398986747,0.894118260464518,0.855408195830584,0.906163305922773,0.88811860038435
"grow.S.CAExh",0.0370667813312966,0.0370667813312966,0.0370667813312966,0.0370667813312966,0.0370667813312966,0.0370667813312966,0.0370667813312966,0.0370667813312966,0.0370667813312966,0.0370667813312966,0.0370667813312966,0.0370667813312966,0.0370667813312966,0.0370667813312966,0.0370667813312966,0.0370667813312966,0.0370667813312966,0.0370667813312966,0.0370667813312966,0.0370667813312966,0.0370667813312966,0.0370667813312966,0.0370667813312966,0.0370667813312966,0.0370667813312966,0.0370667813312966,0.0370667813312966,0.0370667813312966,0.0370667813312966,0.0370667813312966,0.0370667813312966,0.0370667813312966,0.0370667813312966,0.0370667813312966,0.0370667813312966,0.0370667813312966,0.0370667813312966,0.0370667813312966,0.0370667813312966,0.0370667813312966,0.0370667813312966,0.0370667813312966,0.0370667813312966,0.0370667813312966
"grow.S.HAExh",0.0309271071902209,0.0309271071902209,0.0309271071902209,0.0309271071902209,0.0309271071902209,0.0309271071902209,0.0309271071902209,0.0309271071902209,0.0309271071902209,0.0309271071902209,0.0309271071902209,0.0309271071902209,0.0309271071902209,0.0309271071902209,0.0309271071902209,0.0309271071902209,0.0309271071902209,0.0309271071902209,0.0309271071902209,0.0309271071902209,0.0309271071902209,0.0309271071902209,0.0309271071902209,0.0309271071902209,0.0309271071902209,0.0309271071902209,0.0309271071902209,0.0309271071902209,0.0309271071902209,0.0309271071902209,0.0309271071902209,0.0309271071902209,0.0309271071902209,0.0309271071902209,0.0309271071902209,0.0309271071902209,0.0309271071902209,0.0309271071902209,0.0309271071902209,0.0309271071902209,0.0309271071902209,0.0309271071902209,0.0309271071902209,0.0309271071902209
"grow.S.sigma",0.206083057007932,0.206083057007932,0.206083057007932,0.206083057007932,0.206083057007932,0.206083057007932,0.206083057007932,0.206083057007932,0.206083057007932,0.206083057007932,0.206083057007932,0.206083057007932,0.206083057007932,0.206083057007932,0.206083057007932,0.206083057007932,0.206083057007932,0.206083057007932,0.206083057007932,0.206083057007932,0.206083057007932,0.206083057007932,0.206083057007932,0.206083057007932,0.206083057007932,0.206083057007932,0.206083057007932,0.206083057007932,0.206083057007932,0.206083057007932,0.206083057007932,0.206083057007932,0.206083057007932,0.206083057007932,0.206083057007932,0.206083057007932,0.206083057007932,0.206083057007932,0.206083057007932,0.206083057007932,0.206083057007932,0.206083057007932,0.206083057007932,0.206083057007932
"grow.S.CAE.unscale.mu",3.85843373769905,3.85843373769905,3.85843373769905,3.85843373769905,3.85843373769905,3.85843373769905,3.85843373769905,3.85843373769905,3.85843373769905,3.85843373769905,3.85843373769905,3.85843373769905,3.85843373769905,3.85843373769905,3.85843373769905,3.85843373769905,3.85843373769905,3.85843373769905,3.85843373769905,3.85843373769905,3.85843373769905,3.85843373769905,3.85843373769905,3.85843373769905,3.85843373769905,3.85843373769905,3.85843373769905,3.85843373769905,3.85843373769905,3.85843373769905,3.85843373769905,3.85843373769905,3.85843373769905,3.85843373769905,3.85843373769905,3.85843373769905,3.85843373769905,3.85843373769905,3.85843373769905,3.85843373769905,3.85843373769905,3.85843373769905,3.85843373769905,3.85843373769905
"grow.S.CAE.unscale.sigma",1.8192142812367,1.8192142812367,1.8192142812367,1.8192142812367,1.8192142812367,1.8192142812367,1.8192142812367,1.8192142812367,1.8192142812367,1.8192142812367,1.8192142812367,1.8192142812367,1.8192142812367,1.8192142812367,1.8192142812367,1.8192142812367,1.8192142812367,1.8192142812367,1.8192142812367,1.8192142812367,1.8192142812367,1.8192142812367,1.8192142812367,1.8192142812367,1.8192142812367,1.8192142812367,1.8192142812367,1.8192142812367,1.8192142812367,1.8192142812367,1.8192142812367,1.8192142812367,1.8192142812367,1.8192142812367,1.8192142812367,1.8192142812367,1.8192142812367,1.8192142812367,1.8192142812367,1.8192142812367,1.8192142812367,1.8192142812367,1.8192142812367,1.8192142812367
"grow.S.HAE.unscale.mu",9.11613166789802,9.11613166789802,9.11613166789802,9.11613166789802,9.11613166789802,9.11613166789802,9.11613166789802,9.11613166789802,9.11613166789802,9.11613166789802,9.11613166789802,9.11613166789802,9.11613166789802,9.11613166789802,9.11613166789802,9.11613166789802,9.11613166789802,9.11613166789802,9.11613166789802,9.11613166789802,9.11613166789802,9.11613166789802,9.11613166789802,9.11613166789802,9.11613166789802,9.11613166789802,9.11613166789802,9.11613166789802,9.11613166789802,9.11613166789802,9.11613166789802,9.11613166789802,9.11613166789802,9.11613166789802,9.11613166789802,9.11613166789802,9.11613166789802,9.11613166789802,9.11613166789802,9.11613166789802,9.11613166789802,9.11613166789802,9.11613166789802,9.11613166789802
